All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Reactive Power in Mvar","Reactive Power in Mvar","Reactive Power in Mvar"
2.8626,0.4763,0.4763,0.4628
2.8726,0.4772,0.4772,0.4626
2.8826,0.4781,0.4781,0.4625
2.8926,0.4789,0.4789,0.4625
2.9026,0.4799,0.4799,0.4625
2.9126,0.4808,0.4808,0.4627
2.9226,0.4817,0.4817,0.4629
2.9326,0.4827,0.4827,0.4632
2.9426,0.4836,0.4836,0.4636
2.9526,0.4846,0.4846,0.4641
2.9626,0.4855,0.4855,0.4647
2.9726,0.4865,0.4865,0.4654
2.9826,0.4874,0.4874,0.4661
2.9926,0.4883,0.4883,0.4669
3.0026,0.4892,0.4892,0.4677
3.0126,0.4900,0.4900,0.4687
3.0226,0.4909,0.4909,0.4697
3.0326,0.4917,0.4917,0.4708
3.0426,0.4926,0.4926,0.4720
3.0526,0.4934,0.4934,0.4733
3.0626,0.4943,0.4943,0.4746
3.0726,0.4951,0.4951,0.4760
3.0826,0.4960,0.4960,0.4774
3.0926,0.4968,0.4968,0.4789
3.1026,0.4976,0.4976,0.4804
3.1126,0.4984,0.4984,0.4819
3.1226,0.4992,0.4992,0.4835
3.1326,0.4999,0.4999,0.4851
3.1426,0.5007,0.5007,0.4866
3.1526,0.5014,0.5014,0.4882
3.1626,0.5022,0.5022,0.4898
3.1726,0.5029,0.5029,0.4914
3.1826,0.5037,0.5037,0.4930
3.1926,0.5045,0.5045,0.4945
3.2026,0.5052,0.5052,0.4961
3.2126,0.5060,0.5060,0.4976
3.2226,0.5067,0.5067,0.4991
3.2326,0.5075,0.5075,0.5006
3.2426,0.5083,0.5083,0.5020
3.2526,0.5090,0.5090,0.5034
3.2626,0.5098,0.5098,0.5047
3.2726,0.5106,0.5106,0.5060
3.2826,0.5114,0.5114,0.5072
3.2926,0.5121,0.5121,0.5083
3.3026,0.5129,0.5129,0.5094
3.3126,0.5137,0.5137,0.5105
3.3226,0.5145,0.5145,0.5115
3.3326,0.5153,0.5153,0.5125
3.3426,0.5162,0.5162,0.5134
3.3526,0.5170,0.5170,0.5142
3.3626,0.5178,0.5178,0.5150
3.3726,0.5187,0.5187,0.5157
3.3826,0.5195,0.5195,0.5164
3.3926,0.5203,0.5203,0.5170
3.4026,0.5212,0.5212,0.5176
3.4126,0.5220,0.5220,0.5181
3.4226,0.5229,0.5229,0.5186
3.4326,0.5237,0.5237,0.5190
3.4426,0.5245,0.5245,0.5194
3.4526,0.5254,0.5254,0.5198
3.4626,0.5262,0.5262,0.5202
3.4726,0.5271,0.5271,0.5205
3.4826,0.5279,0.5279,0.5208
3.4926,0.5288,0.5288,0.5211
3.5026,0.5296,0.5296,0.5214
3.5126,0.5304,0.5304,0.5217
